"word","x","y"
"interest",0.0337122504098765,-0.992585317436705
"ire",0.669270282365032,-0.246711143397244
"irritation",0.485642671604022,0.46466137018479
"isolation",-0.0822817445820209,0.629319662274056
"jealousy",0.795135143538507,-0.154563637782867
"jitteriness",0.74436170522143,-0.551696195524688
"jolliness",-0.334061955073917,-0.983801889037911
"joviality",-0.291909028562254,-0.837274580801293
"joy",-0.243389406084889,-1.12173709189725
"jubilation",-0.0314385586647302,-0.89306792037093
"liking",-0.351942206456221,-1.12076774019325
"lividness",0.728106141938643,-0.198758099875072
"loathing",0.536281405568384,0.243548594046839
"loneliness",-0.330280849103664,0.55453550164633
"longing",-0.481562927983604,-0.349156704991857
"love",-0.175017790176174,-1.17523895641344
"lust",0.28281661891441,-0.879063982308782
"malevolence",0.553202015576393,0.0459543396391762
